time,HVAC,ESS_HBN,ESS_ML,ESS_HY,PV,EV
2025/7/25 11:00,15034.2,-21472.6,-20000.0,-30006.2,23022.4,2247.0
2025/7/25 11:15,15016.8,-22927.6,-20243.2,-29983.2,30547.2,5704.0
2025/7/25 11:30,15021.6,-22932.0,-22014.0,-29994.0,19419.2,4392.0
2025/7/25 11:45,15016.8,-22948.6,-22021.2,-30021.2,5404.0,3592.0
2025/7/25 12:00,15031.8,-22963.4,-21802.2,-30002.2,31846.4,936.0
2025/7/25 12:15,15069.0,-22987.6,-22602.0,-30002.0,8108.0,936.0
2025/7/25 12:30,15405.6,-14667.8,-17998.0,-17998.0,7652.0,349.0
2025/7/25 12:45,15427.2,-234.0,-4000.0,0.0,14336.0,5197.0
2025/7/25 13:00,15412.2,-212.2,-200.0,-0.2,36622.4,3607.0
2025/7/25 13:15,15342.6,-192.4,-0.8,-0.8,27896.0,4248.0
2025/7/25 13:30,15400.2,-183.2,-0.2,-0.2,41749.6,124.0
2025/7/25 13:45,15048.0,-161.4,-1.0,-1.0,17856.0,5819.0
2025/7/25 14:00,14289.0,-132.0,-0.2,-0.2,35708.8,4995.0
2025/7/25 14:15,13926.6,-65.0,-0.4,-0.4,15144.8,1274.0
2025/7/25 14:30,13549.8,-64.0,-0.2,-0.2,12067.2,1091.0
2025/7/25 14:45,13451.4,-63.6,-0.2,-0.2,24265.6,1100.0
2025/7/25 15:00,13462.2,20732.4,22008.6,29908.6,7984.0,1825.0
2025/7/25 15:15,13489.8,20200.8,20013.0,30013.0,8351.2,3149.0
2025/7/25 15:30,13458.6,19367.8,20086.4,30006.4,14710.4,2592.0
2025/7/25 15:45,13503.0,18413.2,20251.6,29991.6,17235.2,1747.0
2025/7/25 16:00,13610.4,17168.8,19747.2,30007.2,13248.0,3671.0
2025/7/25 16:15,13582.2,15759.2,16708.6,29948.6,9384.0,837.0
2025/7/25 16:30,13591.8,13712.8,10000.0,4.6,6844.0,1753.0
2025/7/25 16:45,13609.8,8732.8,9000.0,0.0,1615.2,2198.0
2025/7/25 17:00,13608.0,-85.4,-0.4,-0.4,3659.2,2736.0
2025/7/25 17:15,13575.0,-64.2,-0.4,-0.4,3303.2,4711.0
2025/7/25 17:30,13703.4,-64.2,0.0,0.0,2406.4,1198.0
2025/7/25 17:45,14325.0,-63.2,-0.4,-0.4,3067.2,3085.0
2025/7/25 18:00,14457.0,-63.0,0.0,0.0,2716.8,3554.0
2025/7/25 18:15,14615.4,-63.2,-0.2,-0.2,496.8,279.0
2025/7/25 18:30,14442.6,-63.4,-0.4,-0.4,-59.2,3645.0
2025/7/25 18:45,14093.4,-63.2,0.0,0.0,-85.6,1023.0
2025/7/25 19:00,13852.2,-63.6,0.4,0.4,-174.4,390.0
2025/7/25 19:15,12886.2,-64.2,-0.2,-0.2,0.0,5693.0
2025/7/25 19:30,12532.8,-64.2,-0.6,-0.6,0.0,5794.0
2025/7/25 19:45,12233.4,-64.0,-0.6,-0.6,0.0,4850.0
2025/7/25 20:00,12300.6,-64.4,-0.6,-0.6,0.0,1828.0
2025/7/25 20:15,12297.6,-64.2,-0.2,-0.2,0.0,586.0
2025/7/25 20:30,12266.4,-65.0,-0.6,-0.6,0.0,4105.0
2025/7/25 20:45,12244.2,-64.8,-0.2,-0.2,0.0,2641.0
2025/7/25 21:00,12132.6,-65.0,-0.2,-0.2,0.0,732.0
